historical_batch_date,execution_rank,execution_shortlist_source,final_execution_bucket,final_recommendation,execution_score,fixture_id,league,home_team,away_team,market_primary,selection_score,primary_model_prob,primary_odds_used,primary_edge,accuracy_mode_eligible_flag,accuracy_confidence_score,accuracy_mode_reason,accuracy_primary_risk,accuracy_mode_bucket,accuracy_mode_rank,competition_raw_prob,competition_calibrated_prob,competition_prob_calibration_bucket,competition_prob_calibration_reason,competition_prob_shrinkage_applied_flag,result_status,actionable_result,primary_result,profit_units,stake_units
2026-05-06,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,136.87242424242424,1535297,CONMEBOL Libertadores,UCV,Independiente del Valle,OVER_1_5,100.69,0.9294,1.32,0.1718242424242424,0,154.732,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_STATS_SUPPORT_TOO_THIN,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.9294,0.9294,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.32,1.0
2026-05-06,3,PREMIUM_CORE,APPROVED_PREMIUM,BET,132.04594594594596,1504793,J1 League,FC Tokyo,JEF United Chiba,OVER_2_5,94.6,0.725,1.85,0.1844594594594595,0,130.562,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_OVER_SUPPORT_INSUFFICIENT,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.725,0.725,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.85,1.0
2026-05-06,4,PREMIUM_CORE,APPROVED_PREMIUM,BET,126.97412213740458,1540844,UEFA Champions League,Bayern München,Paris Saint Germain,BTTS_YES,94.63,0.8968,1.31,0.1334412213740459,0,120.742,ACCURACY_CORE_PRIORITY;ACCURACY_MODEL_PROB_HIGH;ACCURACY_BTTS_SUPPORT_INSUFFICIENT,FAILURE_MODE_BTTS_BREAK,ACCURACY_REJECTED,,0.8968,0.8968,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.31,1.0
2026-05-07,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,141.03794871794872,1540881,UEFA Europa Conference League,Crystal Palace,Shakhtar Donetsk,OVER_2_5,93.78,0.7954,1.95,0.2825794871794871,0,131.632,ACCURACY_CORE_PRIORITY;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_OVER_SUPPORT_INSUFFICIENT,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.7954,0.7954,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.95,1.0
2026-05-07,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,138.4444827586207,1535288,CONMEBOL Libertadores,Independ. Rivadavia,Fluminense,OVER_1_5,101.65,0.8676,1.45,0.1779448275862069,1,157.416,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,1,0.8676,0.7876,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.45,1.0
2026-05-07,3,PREMIUM_CORE,APPROVED_PREMIUM,BET,138.22666666666666,1540873,UEFA Europa League,Aston Villa,Nottingham Forest,OVER_2_5,92.66,0.7865,1.92,0.2656666666666666,1,137.92,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,3,0.7865,0.775617,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_SHRINKAGE,1,RESULT_AVAILABLE,WIN,WIN,0.92,1.0
2026-05-07,4,PREMIUM_CORE,APPROVED_PREMIUM,BET,132.428198757764,1535294,CONMEBOL Libertadores,Santa Fe,Corinthians,OVER_1_5,91.29,0.8425,1.61,0.2213819875776398,1,153.719,ACCURACY_CORE_PRIORITY;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_CORE,2,0.8425,0.7625,MARKET_BUCKET:OVER_1_5|ACCURACY_CORE,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.61,1.0
2026-05-08,1,PREMIUM_CORE,APPROVED_PREMIUM,BET,157.98000000000002,1392192,Segunda División,Cadiz,Deportivo La Coruna,AWAY_WIN,100.39,0.8859,2.0,0.3859,1,121.872,ACCURACY_CORE_PRIORITY;ACCURACY_MODEL_PROB_HIGH,FAILURE_MODE_DRAW_LIVE,ACCURACY_CORE,3,0.8859,0.875017,BUCKET:ACCURACY_CORE,CALIBRATED_BUCKET_SHRINKAGE,1,RESULT_AVAILABLE,WIN,WIN,1.0,1.0
2026-05-08,2,PREMIUM_CORE,APPROVED_PREMIUM,BET,149.6330769230769,1419970,Serie B,Catanzaro,Bari,OVER_2_5,102.66,0.7605,2.08,0.2797307692307692,0,138.84,ACCURACY_CORE_PRIORITY;ACCURACY_OVER_CONFIRMED;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_OVER_SUPPORT_INSUFFICIENT,FAILURE_MODE_LOW_CONVERSION,ACCURACY_REJECTED,,0.7605,0.7605,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,1.08,1.0
2026-05-08,3,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,118.98333333333333,1535284,CONMEBOL Libertadores,Coquimbo Unido,Universitario,OVER_1_5,88.92,0.9173,1.5,0.2506333333333334,1,128.34,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,1,0.9173,0.8373,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.5,1.0
2026-05-08,4,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,112.51692307692309,1494163,Allsvenskan,IF Elfsborg,IF Brommapojkarna,OVER_1_5,92.87,0.9157,1.3,0.1464692307692308,1,124.226,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_OVER_CONFIRMED;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE,FAILURE_MODE_LOW_CONVERSION,ACCURACY_EXTENDED_STRONG,2,0.9157,0.8357,MARKET_BUCKET:OVER_1_5|ACCURACY_EXTENDED_STRONG,CALIBRATED_MARKET_BUCKET_OVERCONFIDENCE,1,RESULT_AVAILABLE,WIN,WIN,0.3,1.0
2026-05-08,5,PREMIUM_EXTENDED,APPROVED_PREMIUM,BET,84.22755395683453,1543680,Premiership,Arbroath,Dunfermline,UNDER_3_5,62.04,0.8913,1.39,0.1718755395683452,0,100.038,ACCURACY_EXTENDED_REVIEW;ACCURACY_MARKET_STABLE;ACCURACY_MODEL_PROB_HIGH;ACCURACY_FAILURE_MODE_ACCEPTABLE;ACCURACY_EXTENDED_REJECTED,FAILURE_MODE_AVALANCHE_RISK,ACCURACY_REJECTED,,0.8913,0.8913,CALIBRATION_NOT_APPLIED,CALIBRATION_NOT_APPLIED_NON_COMPETITION,0,RESULT_AVAILABLE,WIN,WIN,0.39,1.0
