target_date,generated_at,ledger_key,fixture_id,home_team,away_team,league,country,decision_bucket,pick_outcome,quality_class,market_family,goal_event_rows,home_goals,away_goals,total_goals,first_goal_minute,first_goal_team,first_half_goals,second_half_goals,late_goals_75_plus,early_goal_15_flag,early_goal_30_flag,nil_nil_ht_flag,goal_timing_data_status,goal_timing_profile,goal_timing_learning_label,timing_evidence_level,manual_review_required,recommended_action,timing_note,source_guard,auto_apply,production_change
2026-06-17,2026-06-17T12:21:15+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-17,2026-06-17T12:21:15+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-05|1548053|NO_CLEAR_STAT_MARKET,1548053,Las Palmas,Malaga,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-08|1548054|NO_CLEAR_STAT_MARKET,1548054,Almeria,Castellón,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-09|1548054|OVER_1_5_SUPPORTED,1548054,Almeria,Castellón,,,LIVE_ONLY,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-09|1520715|NO_CLEAR_STAT_MARKET,1520715,Nautico Recife,Fortaleza EC,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-09|1520717|NO_CLEAR_STAT_MARKET,1520717,Ponte Preta,Cuiaba,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-17|1495707|NO_CLEAR_STAT_MARKET,1495707,Gnistan,Lahti,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-18,2026-06-18T11:53:21+01:00,2026-06-17|1495708|NO_CLEAR_STAT_MARKET,1495708,SJK,VPS,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-05|1548053|NO_CLEAR_STAT_MARKET,1548053,Las Palmas,Malaga,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-08|1548054|NO_CLEAR_STAT_MARKET,1548054,Almeria,Castellón,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-09|1548054|OVER_1_5_SUPPORTED,1548054,Almeria,Castellón,,,LIVE_ONLY,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-09|1520715|NO_CLEAR_STAT_MARKET,1520715,Nautico Recife,Fortaleza EC,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-09|1520717|NO_CLEAR_STAT_MARKET,1520717,Ponte Preta,Cuiaba,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-17|1495707|NO_CLEAR_STAT_MARKET,1495707,Gnistan,Lahti,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-17|1495708|NO_CLEAR_STAT_MARKET,1495708,SJK,VPS,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-19,2026-06-19T12:03:02+01:00,2026-06-18|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-05|1548053|NO_CLEAR_STAT_MARKET,1548053,Las Palmas,Malaga,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-08|1548054|NO_CLEAR_STAT_MARKET,1548054,Almeria,Castellón,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-09|1548054|OVER_1_5_SUPPORTED,1548054,Almeria,Castellón,,,LIVE_ONLY,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-09|1520715|NO_CLEAR_STAT_MARKET,1520715,Nautico Recife,Fortaleza EC,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-09|1520717|NO_CLEAR_STAT_MARKET,1520717,Ponte Preta,Cuiaba,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-17|1495707|NO_CLEAR_STAT_MARKET,1495707,Gnistan,Lahti,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-17|1495708|NO_CLEAR_STAT_MARKET,1495708,SJK,VPS,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-18|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-20,2026-06-20T10:48:28+01:00,2026-06-19|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-04|DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE|NO_MARKET,DIAGNOSTIC_EMPTY_BY_PROMOTION_GATE,NO_PROMOTED_RAW_CANDIDATES,NO_SCORING_SAFE_ROWS,,,DIAGNOSTIC_ONLY,NO_PICK,DIAGNOSTIC_NO_LEARNING,NO_MARKET,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,DIAGNOSTIC_NO_GOAL_TIMING_LEARNING,DIAGNOSTIC_NOT_REAL_FIXTURE,NONE,NO,NO_MODEL_CHANGE,Diagnostic row; no fixture-level goal timing can be evaluated.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-05|1548053|NO_CLEAR_STAT_MARKET,1548053,Las Palmas,Malaga,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-08|1548054|NO_CLEAR_STAT_MARKET,1548054,Almeria,Castellón,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-09|1548054|OVER_1_5_SUPPORTED,1548054,Almeria,Castellón,,,LIVE_ONLY,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-09|1520715|NO_CLEAR_STAT_MARKET,1520715,Nautico Recife,Fortaleza EC,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-09|1520717|NO_CLEAR_STAT_MARKET,1520717,Ponte Preta,Cuiaba,,,NO_BET,NO_PICK,,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-10|1548055|OVER_1_5_SUPPORTED,1548055,Malaga,Las Palmas,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,TOTAL_GOALS,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-15|1526851|NO_CLEAR_STAT_MARKET,1526851,Maringá,Maranhão,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
2026-06-21,2026-06-21T11:09:47+01:00,2026-06-16|1547575|NO_CLEAR_STAT_MARKET,1547575,TransINVEST Vilnius,FK Trakai,,,NO_BET,PENDING,PENDING_FINAL_ACTUALS,UNKNOWN_FAMILY,0,,,,,UNKNOWN,0,0,0,NO,NO,UNKNOWN,NO_GOAL_TIMING_DATA,GOAL_TIMING_DATA_MISSING,NO_TIMING_SIGNAL,LOW,NO,COLLECT_GOAL_EVENT_DATA,No usable goal timing events or zero-goal result found.,GOAL_TIMING_LEARNING_V1_NO_AUTO_APPLY,NO,NO
